"Field concept","Current locations observed/referenced","Risk","Recommended canonical home","Resolution rule"
"Person display name","leads.contact_name; orders.contact_name; sample_dispatches.contact_name; contacts.full_name; order_financial_documents.contact_name; Gmail From/To; Monday item names; Xero contact name","Same human appears under lead/order/sample/Xero/email names; person vs organisation ambiguity","parties.display_name + party_aliases + source_evidence","Do not merge on name alone; exact email/phone/external ID first; human review for name/company matches"
"Organisation/customer name","leads.customer_name; orders.customer_name; sample_dispatches.customer_name; organisations.name; Xero contact name; Monday item name","Flat fields mix person/organisation/project/client intermediary","parties(party_type organisation/person/project) + party_relationships","Split person/org/project roles; keep source aliases"
"Email","leads.email; orders.email; sample_dispatches.email; contacts.email; order_financial_documents.contact_email; Gmail sender/recipient; Shopify enquiries","Stale copied emails; multiple addresses per party; personal vs work sensitivity","contact_methods(method_type=email) with source_evidence and privacy_level","Exact normalised email is strong match signal but still store as contact method, not identity field only"
"Phone","leads.phone; orders.phone; sample_dispatches.phone; organisations.phone; contacts.phone; website/form payloads; Gmail signatures","Phones move or can be shared; high privacy value","contact_methods(method_type=phone/mobile) with last_verified_at and privacy_level","Exact normalised phone is strong match; restrict display"
"Lead/enquiry","leads row currently combines person, opportunity and notes","Lead row becomes overloaded and duplicates contact details","opportunities + touchpoints + source_evidence + parties","Keep legacy lead_id as source/evidence; create opportunity linked to party after approval"
"Order customer","orders.customer_name/contact_name/email/phone; order_customer_mirror","Order duplicates lead/customer fields and financial refs","orders linked to parties + order_customer_mirror + source_evidence","Do not delete existing fields initially; add party links and backfill review-mode"
"Xero financial contact","Xero Contact.Name; order_financial_documents.contact_name/contact_email; orders.xero_invoice_id/number","Xero contact may be organisation, accounts contact, or customer display; not full relationship truth","external_identities + source_evidence + financial_documents","Xero is authoritative for financial documents/status, not relationship summary"
"Monday production customer","Monday Orders board item name; delivery location; invoice link; statuses; notes","Monday customer names/statuses can drift from Supabase; migration not complete","source_evidence + external_identities + linked orders","Monday remains current workshop/legacy truth for production/stock/history until migration gates"
"Gmail correspondent","Gmail from/to/cc/bcc headers; message id; thread id; snippets/bodies","Email headers show communication parties but can include many unrelated CCs","source_evidence + touchpoints + contact_methods candidates","Create candidate parties/contact_methods; do not auto-add all CCs as relationships without relevance scoring"
"Drive document owner/project","Drive file/folder title; file IDs; docs/sheets contents when scope fixed","Folder names can contain customer/project but no verified contact identity","source_evidence + documents linked to party/opportunity/order","Use Drive as evidence/document store; not identity source alone"
"Website product intent","freight_quote_events product_handle/variant_id/page_url/source; Shopify page URLs; configurator localStorage domain model","Visitor/event may not identify a person unless submitted form has contact details","touchpoints + opportunity_intent + source_evidence","Anonymous intent aggregates separately; identified submissions link after exact contact signal"
"Sample dispatch recipient","sample_dispatches customer_name/contact_name/email/phone/gmail_message_id/shopify_order_id","Sample records are customer/opportunity touchpoints and can duplicate leads","opportunity_samples/touchpoints linked to parties","Exact lead_id/order_id/email can link; otherwise review"
"Supplier/vendor","costing_suppliers; organisations; contacts; Xero bills; Gmail supplier threads","Supplier contact, organisation, material, and pricing facts are split","parties + party_roles(supplier) + supplier_profiles + source_evidence","Use Xero/contact/bill for financial truth; Gmail/Drive for relationship/provenance evidence"
"Source URL/system","leads.source_url/source_system; orders.source_url/source_system; relationship_links; costing_source_links; stock_source_links; source_captures.source_url","Inconsistent evidence shape across schemas","source_evidence table","All important fact_claims and touchpoints point to source_evidence"
"External IDs","monday_item_id; xero_invoice_id/number; shopify_order_id; gmail_message_id/thread_id; drive file/folder ids; link tables","IDs scattered across domain tables and metadata","external_identities + source_evidence + relationship_links","Keep unique constraints per source/type; link to canonical party/opportunity/order"
"Notes/summaries","leads.notes; orders.notes; relationship_records.summary; order_customer_mirror summaries; source_captures.summary; extracted_nuggets.detail","AI/manual summaries may include mixed claims and sensitive details","fact_claims + touchpoints + source_evidence; summaries generated from claims","Store atomic source-backed claims; label AI-generated summary confidence"
"Commitments/promises","Gmail sent messages; order_customer_mirror lead_time_promise; order_events; leads.next_action; action_items","Promises buried in notes can be missed","commitments_promises","Every promise needs owner/status/source/due date where applicable"
"Public enrichment","leads.notes research text; web URLs; LinkedIn/Autex/Abodo snippets","Hallucination/staleness/privacy creep","research_profiles + fact_claims + source_evidence","Only business-relevant public facts; URL + captured_at + confidence required"
